name,now_cost
Nico O'Reilly,5.0
Ilkay Gündogan,6.5
Issa Kaboré,4.5
Amad Diallo,5.0
Antony Matheus dos Santos,5.8
Bruno Borges Fernandes,8.2
Altay Bayindir,4.4
Carlos Henrique Casimiro,4.8
Diogo Dalot Teixeira,5.1
Christian Eriksen,5.4
Jonny Evans,4.4
Alejandro Garnacho,6.3
Hannibal Mejbri,4.5
Tom Heaton,4.0
Rasmus Højlund,6.9
Victor Lindelöf,4.3
Harry Maguire,4.9
Kobbie Mainoo,5.2
Tyrell Malacia,4.4
Lisandro Martínez,4.5
Scott McTominay,4.9
Mason Mount,6.3
André Onana,5.0
Facundo Pellistri Rebollo,5.0
Marcus Rashford,6.9
Luke Shaw,4.9
Joshua Zirkzee,6.8
Leny Yoro,4.3
Matthijs de Ligt,5.0
Noussair Mazraoui,4.6
Toby Collyer,4.5
Ethan Wheatley,4.5
Manuel Ugarte,5.0
Alex Murphy,4.0
Miguel Almirón Rejala,5.6
Harvey Barnes,6.5
Sven Botman,4.4
Bruno Guimarães Rodriguez Moura,6.3
Dan Burn,4.4
Martin Dúbravka,4.3
Anthony Gordon,7.3
Lewis Hall,4.3
Isaac Hayden,4.5
Alexander Isak,8.3
Jacob Murphy,5.2
Joelinton Cássio Apolinário de Lira,6.0
Lloyd Kelly,4.4
Emil Krafth,4.5
Garang Kuol,4.5
Jamaal Lascelles,4.5
Jamal Lewis,4.0
Tino Livramento,4.5
Sean Longstaff,4.8
Lewis Miley,5.0
Odysseas Vlachodimos,4.4
Nick Pope,5.0
John Ruddy,4.0
Fabian Schär,5.4
Matt Targett,4.0
Sandro Tonali,5.5
Kieran Trippier,5.7
Joe White,4.5
Joe Willock,4.8
Callum Wilson,6.9
Miodrag Pivaš,4.0
William Osula,5.0
Álex Moreno Lopera,4.4
Ola Aina,4.5
Elliot Anderson,5.0
Taiwo Awoniyi,5.7
Willy Boly,4.3
Josh Bowler,4.5
Carlos Miguel dos Santos Pereira,4.3
Eric da Silva Moreira,4.5
Danilo dos Santos de Oliveira,4.8
Emmanuel Dennis,4.9
Nicolás Domínguez,4.8
Anthony Elanga,5.2
Morgan Gibbs-White,6.3
Callum Hudson-Odoi,5.4
Alex Mighten,4.5
Murillo Santiago Costa dos Santos,4.5
Neco Williams,4.5
Omar Richards,4.5
Lewis O'Brien,5.0
Andrew Omobamidele,4.3
Jonathan Panzo,4.0
Ibrahim Sangaré,4.4
Matz Sels,4.5
Harry Toffolo,4.3
Hwang Ui-jo,4.5
Chris Wood,6.2
Joe Worrall,4.5
Ryan Yates,4.9
James Ward-Prowse,6.2
Nikola Milenković,4.5
João Pedro Ferreira Silva,5.9
Ramón Sosa,5.5
Felipe Rodrigues da Silva,4.5
Aaron Ramsdale,4.4
Cameron Archer,5.0
Lesley Ugochukwu,4.5
Ryan Fraser,4.9
Carlos Alcaraz Durán,4.9
Samuel Amo-Ameyaw,4.5
Joe Aribo,4.9
Adam Armstrong,5.3
Gavin Bazunu,4.4
Jan Bednarek,4.0
Armel Bella-Kotchap,4.0
James Bree,4.0
Shea Charles,4.5
Samuel Edozie,4.9
Ronnie Edwards,4.0
Taylor Harwood-Bellis,4.0
Kamaldeen Sulemana,5.0
Adam Lallana,5.0
Juan Larios López,4.0
Mateusz Lis,4.0
Joe Lumley,4.0
Ryan Manning,4.3
Sékou Mara,5.0
Alex McCarthy,4.4
Paul Onuachu,4.9
Will Smallbone,5.0
Jack Stephens,4.0
Ross Stewart,4.6
Sugawara Yukinari,4.5
Charlie Taylor,4.0
Kyle Walker-Peters,4.4
Nathan Wood-Gordon,4.0
Maxwel Cornet,4.8
Flynn Downes,4.9
Ben Brereton Díaz,5.2
Tyler Dibling,4.6
Mateus Gonçalo Espanha Fernandes,5.0
Dominic Solanke-Mitchell,7.6
Ashley Phillips,4.0
Brandon Austin,4.0
Rodrigo Bentancur,5.0
Lucas Bergvall,4.5
Yves Bissouma,4.9
Bryan Gil Salvatierra,5.0
Ben Davies,4.4
Alfie Devine,4.5
Radu Drăgușin,4.3
Emerson Leite de Souza Junior,4.5
Fraser Forster,4.4
Archie Gray,4.8
Pierre-Emile Højbjerg,5.0
Brennan Johnson,6.5
Dejan Kulusevski,6.2
Giovani Lo Celso,4.9
James Maddison,7.5
Pedro Porro,5.5
Sergio Reguilón,4.3
Richarlison de Andrade,6.8
Cristian Romero,5.1
Pape Matar Sarr,4.9
Dane Scarlett,4.5
Manor Solomon,5.4
Son Heung-min,9.9
Djed Spence,4.4
Destiny Udogie,4.9
Micky van de Ven,4.6
Alejo Véliz,5.0
Guglielmo Vicario,5.0
Timo Werner,6.2
Alfie Whiteman,4.0
Will Lankshear,4.5
Mikey Moore,4.5
Wilson Odobert,5.4
Aaron Wan-Bissaka,4.5
Edson Álvarez Velázquez,5.0
Michail Antonio,5.4
Alphonse Areola,4.5
Jarrod Bowen,7.4
Vladimír Coufal,4.4
Aaron Cresswell,4.0
George Earthy,4.5
Emerson Palmieri dos Santos,4.4
Łukasz Fabiański,4.0
Wes Foderingham,4.4
Danny Ings,5.0
Max Kilman,4.5
Mohammed Kudus,6.3
Luis Guilherme Lira dos Santos,4.8
Lucas Tolentino Coelho de Lima,5.9
Konstantinos Mavropanos,4.5
Nayef Aguerd,4.4
Tomáš Souček,5.0
Kurt Zouma,4.4
Andy Irving,4.9
Crysencio Summerville,5.7
Guido Rodríguez,4.9
Niclas Füllkrug,6.7
Jean-Clair Todibo,4.4
Kaelan Casey,4.0
Carlos Soler,5.0
Sam Johnstone,4.4
Rayan Aït-Nouri,4.4
Boubacar Traoré,4.9
Jean-Ricner Bellegarde,5.0
Daniel Bentley,4.0
Francisco Jorge Tomás Oliveira,4.5
Tawanda Chirewa,4.5
Leon Chiwome,4.5
Luke Cundle,4.5
Matheus Santos Carneiro Da Cunha,6.5
Craig Dawson,4.4
Matt Doherty,4.4
Tommy Doyle,4.9
Fábio Silva,5.0
Nathan Fraser,4.5
Enso González,4.5
Gonçalo Manuel Ganchinho Guedes,5.3
Hugo Bueno López,4.5
Hwang Hee-chan,6.1
Joe Hodge,4.5
Ki-Jana Hoever,4.0
João Victor Gomes da Silva,4.9
José Malheiro de Sá,4.4
Saša Kalajdžić,4.9
Tom King,4.0
Mario Lemina,5.0
Yerson Mosquera,4.0
Nélson Cabral Semedo,4.5
Pedro Cardoso de Lima,4.0
Daniel Castelo Podence,5.5
Rodrigo Martins Gomes,5.3
Santiago Bueno,4.4
Pablo Sarabia,5.2
Jørgen Strand Larsen,5.5
Toti António Gomes,4.3
Bastien Meupiyou,4.0
André Trindade da Costa Neto,5.0
Carlos Roberto Forbs Borges,5.5
Alfie Pond,4.0
